TICKER_SYMBOL_IDENTIFIER,PRODUCT_TYPE
PFBPX,Mutual Funds
STBYX,Mutual Funds
WAYRX,Mutual Funds
JASBX,Mutual Funds
JAASX,Mutual Funds
FAJIX,Mutual Funds
EVTRX,Mutual Funds
CYLRX,Mutual Funds
FEGRX,Mutual Funds
ACSHX,Mutual Funds
JAGXX,Mutual Funds
SMTVX,Mutual Funds
PCBIX,Mutual Funds
HGWYX,Mutual Funds
PSMVX,Mutual Funds
ANBIX,Mutual Funds
ASMZX,Mutual Funds
WAIOX,Mutual Funds
RSCYX,Mutual Funds
JUSSX,Mutual Funds
FFIMX,Mutual Funds
JSVZX,Mutual Funds
EALDX,Mutual Funds
FMMXX,Mutual Funds
JFFAX,Mutual Funds
AHYCX,Mutual Funds
LBNVX,Mutual Funds
ITYAX,Mutual Funds
PIYFX,Mutual Funds
MCGFX,Mutual Funds
ICSZX,Mutual Funds
FLCIX,Mutual Funds
LFTUX,Mutual Funds
SSGRX,Mutual Funds
USSCX,Mutual Funds
MFQAX,Mutual Funds
KDSAX,Mutual Funds
TVIFX,Mutual Funds
FQAOX,Mutual Funds
FTASX,Mutual Funds
FCVXX,Mutual Funds
MRRFX,Mutual Funds
FDVKX,Mutual Funds
LMASX,Mutual Funds
LSIRX,Mutual Funds
GIDGX,Mutual Funds
AMVAX,Mutual Funds
LIGAX,Mutual Funds
SACAX,Mutual Funds
HILSX,Mutual Funds
AADIX,Mutual Funds
PVPNX,Mutual Funds
FGVCX,Mutual Funds
CSGTX,Mutual Funds
MHYSX,Mutual Funds
CABDX,Mutual Funds
MDSWX,Mutual Funds
AGRDX,Mutual Funds
EAREX,Mutual Funds
WAFSX,Mutual Funds
PRPAX,Mutual Funds
LMNOX,Mutual Funds
FMVAX,Mutual Funds
PUSYX,Mutual Funds
FIPXX,Mutual Funds
FHPCX,Mutual Funds
FSENX,Mutual Funds
TGCEX,Mutual Funds
FSCOX,Mutual Funds
UTIXX,Mutual Funds
SINAX,Mutual Funds
LAUAX,Mutual Funds
FFXIX,Mutual Funds
CMPFX,Mutual Funds
JRIRX,Mutual Funds
NTTFX,Mutual Funds
VFFIX,Mutual Funds
GGOUX,Mutual Funds
RADTX,Mutual Funds
PTRNX,Mutual Funds
PCRAX,Mutual Funds
CABNX,Mutual Funds
NGIPX,Mutual Funds
SAMFX,Mutual Funds
NFEAX,Mutual Funds
PHYQX,Mutual Funds
JGASX,Mutual Funds
PGEIX,Mutual Funds
AGTHX,Mutual Funds
GTSFX,Mutual Funds
PSCSX,Mutual Funds
BGSAX,Mutual Funds
PEIOX,Mutual Funds
LRIIX,Mutual Funds
GTIIX,Mutual Funds
TMCGX,Mutual Funds
VITNX,Mutual Funds
PEUGX,Mutual Funds
DSEEX,Mutual Funds
FCGSX,Mutual Funds
ODVNX,Mutual Funds
FDGDX,Mutual Funds
FFKBX,Mutual Funds
ARWIX,Mutual Funds
HAIDX,Mutual Funds
REEBX,Mutual Funds
FMJFX,Mutual Funds
JMTNX,Mutual Funds
LWOIX,Mutual Funds
VBTLX,Mutual Funds
FFFIX,Mutual Funds
JSMGX,Mutual Funds
CADRX,Mutual Funds
SIGVX,Mutual Funds
CLCQX,Mutual Funds
FAEVX,Mutual Funds
ATDIX,Mutual Funds
DRELX,Mutual Funds
GSXAX,Mutual Funds
MSGRX,Mutual Funds
ACVAX,Mutual Funds
GSPRX,Mutual Funds
SCPYX,Mutual Funds
FTDZX,Mutual Funds
HLGFX,Mutual Funds
LGMAX,Mutual Funds
AFDIX,Mutual Funds
EIUTX,Mutual Funds
HMVTX,Mutual Funds
CSSZX,Mutual Funds
FLRFX,Mutual Funds
FAPAX,Mutual Funds
TDVFX,Mutual Funds
FDPXX,Mutual Funds
RTRKX,Mutual Funds
SMCSX,Mutual Funds
JCHAX,Mutual Funds
AREDX,Mutual Funds
FAOFX,Mutual Funds
CGOLX,Mutual Funds
FCTWX,Mutual Funds
JDEZX,Mutual Funds
PYHIX,Mutual Funds
NMSCX,Mutual Funds
VRIVX,Mutual Funds
FIDXX,Mutual Funds
FVLSX,Mutual Funds
VNVNX,Mutual Funds
CFIEX,Mutual Funds
JLEEX,Mutual Funds
SPQAX,Mutual Funds
PDAAX,Mutual Funds
RYAIX,Mutual Funds
CLDAX,Mutual Funds
CNMRX,Mutual Funds
LGORX,Mutual Funds
BSIIX,Mutual Funds
LVAEX,Mutual Funds
RPBAX,Mutual Funds
